goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0016021,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of membrane,78,"TRINITY_DN31804_c3_g7_i2,TRINITY_DN37578_c5_g1_i3,TRINITY_DN38362_c1_g2_i2,TRINITY_DN38362_c1_g2_i1,TRINITY_DN38802_c0_g1_i1,TRINITY_DN36687_c2_g3_i5,TRINITY_DN28513_c5_g1_i1,TRINITY_DN38550_c1_g3_i1,TRINITY_DN30246_c0_g1_i4,TRINITY_DN38186_c1_g1_i3,TRINITY_DN39482_c3_g1_i4,TRINITY_DN39482_c3_g1_i7,TRINITY_DN39482_c3_g1_i10,TRINITY_DN34069_c0_g1_i6,TRINITY_DN34069_c0_g1_i1,TRINITY_DN33554_c2_g6_i2,TRINITY_DN28362_c0_g1_i2,TRINITY_DN28362_c0_g1_i5,TRINITY_DN36569_c5_g1_i11,TRINITY_DN32181_c5_g2_i10,TRINITY_DN37841_c2_g2_i5,TRINITY_DN37841_c2_g1_i8,TRINITY_DN35407_c6_g1_i14,TRINITY_DN35407_c6_g1_i5,TRINITY_DN35407_c6_g1_i9,TRINITY_DN35490_c0_g1_i3,TRINITY_DN35490_c0_g1_i25,TRINITY_DN32048_c0_g1_i13,TRINITY_DN34760_c2_g2_i3,TRINITY_DN32889_c1_g1_i3,TRINITY_DN33655_c7_g2_i2,TRINITY_DN39213_c3_g2_i3,TRINITY_DN29448_c3_g1_i3,TRINITY_DN36417_c0_g1_i5,TRINITY_DN32992_c1_g3_i4,TRINITY_DN34831_c4_g2_i1,TRINITY_DN29025_c2_g1_i6,TRINITY_DN37007_c3_g2_i6,TRINITY_DN28381_c5_g2_i6,TRINITY_DN31017_c1_g1_i8,TRINITY_DN35906_c1_g4_i5,TRINITY_DN35906_c1_g4_i6,TRINITY_DN37394_c1_g3_i2,TRINITY_DN39373_c1_g1_i2,TRINITY_DN34920_c8_g2_i14,TRINITY_DN39340_c6_g2_i2,TRINITY_DN34260_c1_g1_i5,TRINITY_DN34069_c0_g1_i5,TRINITY_DN36224_c2_g4_i2,TRINITY_DN30735_c0_g1_i8,TRINITY_DN36107_c0_g1_i3,TRINITY_DN36107_c0_g1_i4,TRINITY_DN28381_c5_g2_i17,TRINITY_DN34741_c3_g3_i1,TRINITY_DN23487_c0_g1_i1,TRINITY_DN29224_c4_g3_i4,TRINITY_DN35906_c1_g4_i3,TRINITY_DN30536_c4_g1_i1,TRINITY_DN34616_c3_g1_i7,TRINITY_DN34993_c4_g1_i1,TRINITY_DN30418_c2_g1_i7,TRINITY_DN33550_c2_g3_i11,TRINITY_DN33214_c1_g3_i2,TRINITY_DN31732_c9_g2_i2,TRINITY_DN28649_c1_g7_i1,TRINITY_DN38151_c2_g5_i3,TRINITY_DN37318_c2_g7_i1,TRINITY_DN33204_c6_g1_i1,TRINITY_DN36844_c0_g1_i2,TRINITY_DN39678_c9_g1_i5,TRINITY_DN30665_c2_g1_i6,TRINITY_DN25255_c0_g2_i1,TRINITY_DN29458_c7_g1_i2,TRINITY_DN37106_c4_g1_i3,TRINITY_DN33426_c9_g2_i2,TRINITY_DN33426_c9_g2_i1,TRINITY_DN38362_c1_g2_i3,TRINITY_DN28151_c6_g1_i1"
GO:0016032,"A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle.",BP,viral process,3,"TRINITY_DN39401_c2_g1_i8,TRINITY_DN39401_c2_g1_i21,TRINITY_DN39401_c2_g1_i6"
GO:0016055,The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state.,BP,Wnt signaling pathway,4,"TRINITY_DN30035_c5_g1_i2,TRINITY_DN30035_c5_g1_i3,TRINITY_DN38382_c0_g1_i14,TRINITY_DN33704_c2_g2_i5"
GO:0016114,"The chemical reactions and pathways resulting in the formation of terpenoids, any member of a class of compounds characterized by an isoprenoid chemical structure.",BP,terpenoid biosynthetic process,1,TRINITY_DN35043_c4_g1_i2
GO:0016125,"The chemical reactions and pathways involving sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.",BP,sterol metabolic process,1,TRINITY_DN37195_c0_g1_i2
GO:0016126,"The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.",BP,sterol biosynthetic process,2,"TRINITY_DN28362_c0_g1_i5,TRINITY_DN28362_c0_g1_i2"
GO:0016191,The removal of the protein coat on a synaptic vesicle following the pinching step at the end of budding from the presynaptic membrane.,BP,synaptic vesicle uncoating,1,TRINITY_DN32762_c1_g1_i2
GO:0016192,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",BP,vesicle-mediated transport,2,"TRINITY_DN39122_c2_g3_i3,TRINITY_DN27525_c0_g1_i1"
GO:0016213,Catalysis of the reaction: linoleoyl-CoA + reduced acceptor + O2 = gamma-linolenoyl-CoA + acceptor + 2 H2O.,MF,linoleoyl-CoA desaturase activity,3,"TRINITY_DN39482_c3_g1_i10,TRINITY_DN39482_c3_g1_i4,TRINITY_DN39482_c3_g1_i7"
GO:0016222,"A protein complex that catalyzes the formation of procollagen trans-4-hydroxy-L-proline and succinate from procollagen L-proline and 2-oxoglutarate, requiring Fe2+ and ascorbate. Contains two alpha subunits that contribute to most parts of the catalytic sites, and two beta subunits that are identical to protein-disulfide isomerase.",CC,procollagen-proline 4-dioxygenase complex,1,TRINITY_DN39115_c1_g2_i1
GO:0016226,The incorporation of iron and exogenous sulfur into a metallo-sulfur cluster.,BP,iron-sulfur cluster assembly,1,TRINITY_DN39002_c0_g1_i3
GO:0016242,"Any process that stops, prevents, or reduces the frequency, rate or extent of macroautophagy.",BP,negative regulation of macroautophagy,1,TRINITY_DN39169_c4_g1_i3
GO:0016246,"The process in which double-stranded RNAs silence cognate genes. Involves posttranscriptional gene inactivation ('silencing') both of transgenes or dsRNA introduced into a germline, and of the host gene(s) homologous to the transgenes or dsRNA. This silencing is triggered by the introduction of transgenes or double-stranded RNA (dsRNA), and can occur through a specific decrease in the level of mRNA, or by negative regulation of translation, of both host genes and transgenes.",BP,RNA interference,1,TRINITY_DN37334_c0_g1_i2
GO:0016274,Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine.,MF,protein-arginine N-methyltransferase activity,1,TRINITY_DN38813_c2_g1_i12
GO:0016287,Catalysis of the reaction: acyl-CoA + glycerone phosphate = 1-acylglycerone 3-phosphate + CoA.,MF,glycerone-phosphate O-acyltransferase activity,1,TRINITY_DN35544_c3_g2_i12
GO:0016324,The region of the plasma membrane located at the apical end of the cell.,CC,apical plasma membrane,1,TRINITY_DN39678_c9_g1_i5
GO:0016338,The attachment of one cell to another cell via adhesion molecules that do not require the presence of calcium for the interaction.,BP,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,1,TRINITY_DN23487_c0_g1_i1
GO:0016358,"The process whose specific outcome is the progression of the dendrite over time, from its formation to the mature structure. A dendrite is a freely branching protoplasmic process of a nerve cell.",BP,dendrite development,1,TRINITY_DN38382_c0_g1_i14
GO:0016477,The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues. Cell migration is a central process in the development and maintenance of multicellular organisms.,BP,cell migration,4,"TRINITY_DN28284_c3_g5_i1,TRINITY_DN39245_c4_g1_i3,TRINITY_DN33702_c0_g4_i1,TRINITY_DN32111_c0_g2_i23"
GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.,BP,protein processing,1,TRINITY_DN30231_c5_g1_i3
GO:0016486,The generation of a mature peptide hormone by posttranslational processing of a prohormone.,BP,peptide hormone processing,1,TRINITY_DN30231_c5_g1_i3
GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity,7,"TRINITY_DN37735_c2_g1_i22,TRINITY_DN37735_c2_g1_i21,TRINITY_DN37735_c2_g1_i11,TRINITY_DN37735_c2_g1_i2,TRINITY_DN35076_c2_g1_i2,TRINITY_DN38151_c2_g5_i3,TRINITY_DN28151_c6_g1_i1"
GO:0016529,"A fine reticular network of membrane-limited elements that pervades the sarcoplasm of a muscle cell; continuous over large portions of the cell and with the nuclear envelope; that part of the endoplasmic reticulum specialized for calcium release, uptake and storage.",CC,sarcoplasmic reticulum,1,TRINITY_DN32744_c3_g1_i10
GO:0016567,The process in which one or more ubiquitin groups are added to a protein.,BP,protein ubiquitination,5,"TRINITY_DN38748_c0_g1_i10,TRINITY_DN35925_c0_g2_i1,TRINITY_DN32522_c4_g1_i1,TRINITY_DN37852_c1_g2_i13,TRINITY_DN35526_c1_g1_i9"
GO:0016569,The alteration of DNA or protein in chromatin by the covalent addition or removal of chemical groups.,BP,covalent chromatin modification,1,TRINITY_DN39527_c6_g1_i7
GO:0016570,The covalent alteration of one or more amino acid residues within a histone protein.,BP,histone modification,1,TRINITY_DN33704_c2_g2_i5
GO:0016579,The removal of one or more ubiquitin groups from a protein.,BP,protein deubiquitination,3,"TRINITY_DN30035_c5_g1_i3,TRINITY_DN30035_c5_g1_i2,TRINITY_DN31241_c3_g1_i1"
GO:0016581,"An approximately 2 MDa multi-subunit complex that exhibits ATP-dependent chromatin remodeling activity in addition to histone deacetylase (HDAC) activity, and has been shown to establish transcriptional repression of a number of target genes in vertebrates, invertebrates and fungi. Amongst its subunits, the NuRD complex contains histone deacetylases, histone binding proteins and Mi-2-like proteins.",CC,NuRD complex,1,TRINITY_DN26935_c0_g1_i2
GO:0016593,"A multiprotein complex that associates with RNA polymerase II and general RNA polymerase II transcription factor complexes and may be involved in both transcriptional initiation and elongation. In Saccharomyces the complex contains Paf1p, Cdc73p, Ctr9p, Rtf1p, and Leo1p.",CC,Cdc73/Paf1 complex,1,TRINITY_DN33704_c2_g2_i5
GO:0016597,"Interacting selectively and non-covalently with an amino acid, organic acids containing one or more amino substituents.",MF,amino acid binding,1,TRINITY_DN38988_c1_g1_i11
GO:0016604,Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins.,CC,nuclear body,1,TRINITY_DN38592_c1_g2_i1
GO:0016605,"A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection.",CC,PML body,2,"TRINITY_DN28803_c1_g1_i1,TRINITY_DN32353_c1_g1_i4"
GO:0016607,"A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy.",CC,nuclear speck,4,"TRINITY_DN39412_c2_g1_i7,TRINITY_DN38806_c1_g1_i6,TRINITY_DN38628_c0_g2_i1,TRINITY_DN35387_c3_g1_i3"
GO:0016705,"Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor.",MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",1,TRINITY_DN30536_c4_g1_i1
GO:0016712,"Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced flavin or flavoprotein and one other donor, and one atom of oxygen is incorporated into one donor.",MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",2,"TRINITY_DN26994_c5_g4_i3,TRINITY_DN26994_c5_g4_i5"
GO:0016740,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.",MF,transferase activity,1,TRINITY_DN27792_c3_g1_i1
GO:0016787,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",MF,hydrolase activity,2,"TRINITY_DN35662_c3_g1_i9,TRINITY_DN32075_c2_g1_i3"
GO:0016841,Catalysis of the release of ammonia by the cleavage of a carbon-nitrogen bond or the reverse reaction with ammonia as a substrate.,MF,ammonia-lyase activity,1,TRINITY_DN32215_c7_g1_i17
GO:0016887,Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.,MF,ATPase activity,3,"TRINITY_DN30511_c2_g1_i1,TRINITY_DN39237_c0_g1_i2,TRINITY_DN32762_c1_g1_i2"
GO:0016985,"Catalysis of the random hydrolysis of (1->4)-beta-D-mannosidic linkages in mannans, galactomannans, glucomannans, and galactoglucomannans.",MF,"mannan endo-1,4-beta-mannosidase activity",1,TRINITY_DN31049_c3_g1_i1
GO:0017016,Interacting selectively and non-covalently with any member of the Ras superfamily of monomeric GTPases.,MF,Ras GTPase binding,1,TRINITY_DN37696_c0_g2_i13
GO:0017022,Interacting selectively and non-covalently with any part of a myosin complex; myosins are any of a superfamily of molecular motor proteins that bind to actin and use the energy of ATP hydrolysis to generate force and movement along actin filaments.,MF,myosin binding,1,TRINITY_DN27525_c0_g1_i1
GO:0017048,"Interacting selectively and non-covalently with Rho protein, any member of the Rho subfamily of the Ras superfamily of monomeric GTPases. Proteins in the Rho subfamily are involved in relaying signals from cell-surface receptors to the actin cytoskeleton.",MF,Rho GTPase binding,2,"TRINITY_DN32550_c0_g1_i2,TRINITY_DN32550_c0_g1_i5"
GO:0017053,A protein complex that possesses activity that prevents or downregulates transcription.,CC,transcriptional repressor complex,1,TRINITY_DN39527_c6_g1_i7
GO:0017070,Interacting selectively and non-covalently with the U6 small nuclear RNA (U6 snRNA).,MF,U6 snRNA binding,1,TRINITY_DN37338_c0_g1_i4
GO:0017077,"Enables the transfer of protons from mitochondrial intermembrane space into mitochondrial matrix, dissipating the proton gradient across the mitochondrial inner membrane established by the electron transport chain during the oxidative phosphorylation (proton leak). Proton leak uncouples the processes of electron transport/proton generation and ATP synthesis.",MF,oxidative phosphorylation uncoupler activity,2,"TRINITY_DN35490_c0_g1_i25,TRINITY_DN35490_c0_g1_i3"
GO:0017091,Interacting selectively and non-covalently with a region of RNA containing frequent adenine and uridine bases.,MF,AU-rich element binding,1,TRINITY_DN34352_c0_g1_i2
GO:0017124,"Interacting selectively and non-covalently with a SH3 domain (Src homology 3) of a protein, small protein modules containing approximately 50 amino acid residues found in a great variety of intracellular or membrane-associated proteins.",MF,SH3 domain binding,3,"TRINITY_DN37359_c1_g2_i11,TRINITY_DN28362_c0_g2_i1,TRINITY_DN28649_c1_g7_i1"
GO:0017127,"Enables the directed movement of cholesterol into, out of or within a cell, or between cells. Cholesterol is the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones.",MF,cholesterol transporter activity,2,"TRINITY_DN39432_c6_g1_i1,TRINITY_DN23294_c0_g1_i1"
GO:0017154,"Combining with a semaphorin, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity.",MF,semaphorin receptor activity,1,TRINITY_DN33554_c2_g6_i2
